56,1
1,1
44,1
47,1
8,1
59,1
35,1
49,1
18,1
50,1
42,1
22,1
57,1
19,1
28,1
11,1
30,1
60,1
33,2
49,2
12,2
61,2
7,2
56,2
41,2
20,2
55,2
58,2
39,2
13,2
10,2
24,2
35,3
50,3
34,3
1,3
39,3
21,3
32,3
2,3
8,3
24,3
20,3
16,3
16,4
57,4
37,4
6,4
58,4
47,4
32,4
53,4
5,4
49,4
50,5
9,5
60,5
43,5
31,5
36,5
11,5
17,5
34,5
39,5
28,5
14,5
35,5
47,5
45,5
13,5
20,5
26,5
29,6
58,6
34,6
61,6
8,6
16,6
15,6
5,6
22,6
2,6
38,6
36,6
55,6
51,6
49,6
5,7
46,7
41,7
4,7
15,7
61,7
3,7
22,7
56,7
33,7
18,8
43,8
32,8
14,8
35,8
9,8
47,8
37,8
54,8
31,8
16,8
52,8
27,8
7,9
61,9
43,9
28,9
23,9
58,9
27,9
30,9
47,9
4,9
44,9
42,9
50,9
4,10
26,10
47,10
22,10
52,10
56,10
7,10
16,10
13,10
53,10
35,10
9,11
28,11
12,11
18,11
30,11
16,11
5,11
29,11
52,11
36,11
7,11
4,11
42,11
35,11
1,11
6,11
56,11
27,12
32,12
31,12
14,12
56,12
26,12
4,12
11,12
25,12
1,12
53,12
17,12
19,13
28,13
45,13
47,13
51,13
36,13
43,13
46,13
32,13
10,13
13,13
61,13
14,13
4,13
38,13
35,13
48,13
4,14
61,14
38,14
31,14
33,14
55,14
34,14
11,14
60,14
57,14
6,14
12,14
5,14
39,14
49,14
26,15
8,15
57,15
37,15
16,15
38,15
39,15
3,15
40,15
6,15
27,15
43,15
56,15
34,16
21,16
17,16
14,16
43,16
46,16
60,16
16,16
59,16
26,16
9,16
57,16
42,16
20,16
30,16
55,16
5,16
1,16
47,16
