1,1,16
1,2,17
1,5,3
1,8,3
1,9,17
1,14,9
1,16,10
1,18,8
1,20,8
1,24,2
1,27,8
1,31,10
1,32,8
1,34,14
1,35,13
1,37,3
1,39,4
1,43,11
1,47,4
1,49,1
1,50,1
1,52,6
1,53,3
1,54,17
1,57,13
2,1,7
2,2,5
2,5,0
2,6,10
2,8,13
2,9,7
2,14,3
2,16,1
2,18,7
2,20,14
2,21,7
2,24,6
2,27,8
2,31,8
2,32,16
2,34,17
2,35,0
2,37,8
2,39,8
2,43,19
2,47,10
2,49,16
2,50,18
2,52,1
2,53,0
2,54,17
2,57,6
2,58,2
3,5,3
3,6,9
3,8,13
3,9,9
3,14,6
3,16,12
3,18,5
3,20,9
3,21,0
3,24,6
3,27,18
3,31,10
3,32,14
3,34,16
3,35,5
3,37,9
3,39,19
3,43,7
3,47,7
3,49,4
3,50,7
3,53,2
3,54,18
3,57,12
3,58,7
4,1,0
4,2,3
4,5,7
4,6,16
4,8,17
4,9,3
4,14,14
4,16,17
4,18,14
4,20,16
4,21,17
4,24,5
4,27,15
4,31,7
4,32,8
4,34,16
4,35,7
4,37,2
4,39,7
4,43,10
4,47,2
4,49,7
4,50,4
4,52,2
4,53,10
4,54,13
4,57,13
4,58,18
5,2,18
5,5,0
5,8,12
5,9,13
5,14,17
5,16,7
5,18,8
5,20,0
5,21,12
5,24,14
5,32,12
5,34,0
5,35,13
5,37,14
5,39,8
5,43,6
5,47,10
5,49,12
5,50,13
5,52,2
5,53,17
5,54,11
5,57,2
5,58,1
6,1,7
6,5,3
6,7,6
6,8,8
6,9,5
6,10,3
6,11,5
6,13,0
6,16,12
6,17,6
6,18,7
6,19,9
6,20,19
6,21,18
6,22,11
6,24,11
6,26,10
6,28,13
6,30,3
6,33,11
6,34,14
6,35,13
6,39,16
6,42,17
6,43,14
6,44,18
6,46,7
6,47,2
6,49,14
6,50,14
6,55,12
6,56,15
6,57,5
6,58,11
6,59,10
6,60,19
6,61,8
7,1,7
7,35,18
7,8,17
7,42,13
7,44,11
7,60,8
7,47,7
7,49,6
7,18,17
7,19,6
7,22,15
7,56,18
7,59,9
7,30,9
8,1,5
8,35,17
8,8,1
8,11,4
8,44,15
8,60,0
8,47,15
8,49,10
8,18,1
8,50,15
8,19,2
8,22,2
8,56,1
8,57,18
8,28,7
8,30,13
9,1,19
9,35,16
9,8,14
9,42,18
9,44,19
9,60,3
9,49,6
9,18,2
9,50,5
9,19,5
9,22,14
9,56,15
9,57,7
9,59,9
9,28,14
9,30,7
10,35,18
10,8,6
10,42,17
10,11,4
10,60,2
10,47,9
10,49,18
10,50,14
10,19,12
10,56,15
10,57,19
10,59,13
10,28,19
10,30,2
11,1,18
11,35,0
11,42,8
11,11,5
11,44,14
11,47,18
11,49,15
11,50,13
11,19,3
11,22,10
11,56,15
11,57,12
11,59,17
11,28,2
11,30,10
12,3,6
12,4,19
12,6,14
12,7,6
12,8,4
12,11,15
12,13,19
12,14,5
12,16,0
12,17,2
12,20,3
12,22,3
12,26,4
12,27,9
12,28,8
12,31,15
12,35,17
12,36,6
12,38,4
12,39,8
12,40,13
12,43,16
12,45,0
12,47,9
12,50,18
12,53,4
12,56,15
12,57,17
12,60,12
13,33,4
13,34,1
13,4,18
13,5,3
13,38,14
13,6,14
13,39,4
13,11,4
13,12,8
13,49,12
13,55,10
13,57,17
13,60,10
13,61,15
13,31,1
14,33,7
14,34,9
14,5,13
14,6,3
14,39,9
14,12,1
14,49,11
14,55,7
14,57,18
14,60,5
14,61,2
14,31,12
15,33,7
15,34,18
15,4,14
15,5,14
15,38,0
15,6,14
15,11,5
15,12,11
15,55,13
15,57,14
15,60,6
15,31,3
16,33,18
16,34,9
16,5,12
16,38,18
16,6,1
16,11,9
16,12,7
16,49,11
16,55,6
16,57,4
16,60,1
16,61,14
16,31,11
17,3,17
17,4,11
17,5,8
17,10,8
17,19,10
17,22,14
17,32,7
17,33,12
17,36,11
17,38,12
17,41,17
17,43,11
17,45,8
17,46,11
17,47,7
17,48,19
17,51,17
17,56,19
17,61,2
18,3,14
18,5,13
18,10,1
18,14,15
18,15,7
18,19,4
18,22,11
18,28,17
18,32,4
